#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
2 Games in 1 - SpongeBob SquarePants - SuperSponge + SpongeBob SquarePants - Battle for Bikini Bottom (Europe);2 Games in 1 - SpongeBob SquarePants - SuperSponge + SpongeBob SquarePants - Battle for Bikini Bottom (Europe);Nintendo Game Boy Advance;;2005;THQ;Action/Platform;;;;;;;;;
"2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En)";"2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En)";Nintendo Game Boy Advance;;2004;THQ;Action/Platform;;;;;;;;;
"2 Games in 1 - The SpongeBob SquarePants Movie + SpongeBob SquarePants and Friends in Freeze Frame Frenzy (Europe) (En,Fr,De,Es,It,Nl+En,Fr,De,Es,Nl)";"2 Games in 1 - The SpongeBob SquarePants Movie + SpongeBob SquarePants and Friends in Freeze Frame Frenzy (Europe) (En,Fr,De,Es,It,Nl+En,Fr,De,Es,Nl)";Nintendo Game Boy Advance;;2005;THQ;Adventure/Platform;;;;;;;;;
2 Games in 1! - Dragon Ball Z - Buu's Fury + Dragon Ball GT - Transformation (USA);2 Games in 1! - Dragon Ball Z - Buu's Fury + Dragon Ball GT - Transformation (USA);Nintendo Game Boy Advance;;2006;Atari;Beat-'Em-Up/Role-Playing;;;;;;;;;
"2 Games in One! - Dr. Mario + Puzzle League (USA, Australia)";"2 Games in One! - Dr. Mario + Puzzle League (USA, Australia)";Nintendo Game Boy Advance;;2005;Nintendo;Puzzle;;;;;;;;;
2 Games in One! - Gauntlet + Rampart (USA);2 Games in One! - Gauntlet + Rampart (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action;;;;;;;;;
2 Games in One! - Marble Madness + Klax (USA);2 Games in One! - Marble Madness + Klax (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action/Puzzle;;;;;;;;;
2 Games in One! - Paperboy + Rampage (USA);2 Games in One! - Paperboy + Rampage (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action;;;;;;;;;
2 Games in One! - Spy Hunter + Super Sprint (USA);2 Games in One! - Spy Hunter + Super Sprint (USA);Nintendo Game Boy Advance;;2005;DSI Games;Driving;;;;;;;;;
2 Great Games! - Pac-Man World + Ms. Pac-Man - Maze Madness (USA);2 Great Games! - Pac-Man World + Ms. Pac-Man - Maze Madness (USA);Nintendo Game Boy Advance;;2005;Namco;Action;;;;;;;;;
"2 in 1 - Asterix & Obelix - Bash Them All! + Asterix & Obelix XXL (Europe) (En,Fr,De,Es,It,Nl)";"2 in 1 - Asterix & Obelix - Bash Them All! + Asterix & Obelix XXL (Europe) (En,Fr,De,Es,It,Nl)";Nintendo Game Boy Advance;;2005;Atari;Action/Beat-'Em-Up;;;;;;;;;
"2 in 1 - V-Rally 3 + Stuntman (Europe) (En,Fr,De,Es,It)";"2 in 1 - V-Rally 3 + Stuntman (Europe) (En,Fr,De,Es,It)";Nintendo Game Boy Advance;;2005;Atari;Driving;2;;;;;;;;
2 in 1 Game Pack - Shrek 2 + Shark Tale (USA);2 in 1 Game Pack - Shrek 2 + Shark Tale (USA);Nintendo Game Boy Advance;;2005;Activision;Action/Platform;1;;;;;;;;
"2 in 1 Game Pack - Spider-Man + Spider-Man 2 (USA) (En,Fr,De+En,Fr,De,Es)";"2 in 1 Game Pack - Spider-Man + Spider-Man 2 (USA) (En,Fr,De+En,Fr,De,Es)";Nintendo Game Boy Advance;;2005;Activision;Platform;;;;;;;;;
"2 in 1 Game Pack - Spider-Man - Mysterio's Menace + X2 - Wolverine's Revenge (USA, Europe)";"2 in 1 Game Pack - Spider-Man - Mysterio's Menace + X2 - Wolverine's Revenge (USA, Europe)";Nintendo Game Boy Advance;;2005;Activision;Platform;1;;;;;;;;
"2 in 1 Game Pack - Tony Hawk's Underground + Kelly Slater's Pro Surfer (USA, Europe)";"2 in 1 Game Pack - Tony Hawk's Underground + Kelly Slater's Pro Surfer (USA, Europe)";Nintendo Game Boy Advance;;2006;Activision;Skateboarding/Surfing;;;;;;;;;
2-in-1 Fun Pack - Shrek 2 + Madagascar (USA);2-in-1 Fun Pack - Shrek 2 + Madagascar (USA);Nintendo Game Boy Advance;;2006;Activision;Platform;;;;;;;;;
2-in-1 Fun Pack - Shrek 2 + Madagascar - Operation Penguin (USA);2-in-1 Fun Pack - Shrek 2 + Madagascar - Operation Penguin (USA);Nintendo Game Boy Advance;;2006;Activision;Platform;;;;;;;;;
"2006 FIFA World Cup - Germany 2006 (USA, Europe) (En,Fr,De,Es,It)";"2006 FIFA World Cup - Germany 2006 (USA, Europe) (En,Fr,De,Es,It)";Nintendo Game Boy Advance;;2006;Electronic Arts;Soccer/Sports;;;;;;;;;
2K Sports - Major League Baseball 2K7 (USA);2K Sports - Major League Baseball 2K7 (USA);Nintendo Game Boy Advance;;2007;2K Sports;Baseball/Sports;;;;;;;;;
3 Game Pack! - Candy Land + Chutes and Ladders + Original Memory Game (USA);3 Game Pack! - Candy Land + Chutes and Ladders + Original Memory Game (USA);Nintendo Game Boy Advance;;2005;Destination Software;Board Games;;;;;;;;;
3 Game Pack! - Ker Plunk! + Toss Across + Tip It (USA);3 Game Pack! - Ker Plunk! + Toss Across + Tip It (USA);Nintendo Game Boy Advance;;2006;DSI Games;Puzzle;;;;;;;;;
3 Game Pack! - Mouse Trap + Simon + Operation (USA);3 Game Pack! - Mouse Trap + Simon + Operation (USA);Nintendo Game Boy Advance;;2005;Destination Software;Board Games;;;;;;;;;
3 Game Pack! - The Game of Life + Payday + Yahtzee (USA);3 Game Pack! - The Game of Life + Payday + Yahtzee (USA);Nintendo Game Boy Advance;;2005;Destination Software;Board Games;;;;;;;;;
"3 Games in 1 - Rugrats - I Gotta Go Party + SpongeBob SquarePants - SuperSponge + Tak and the Power of Juju (Europe) (En+En+En,Fr,De)";"3 Games in 1 - Rugrats - I Gotta Go Party + SpongeBob SquarePants - SuperSponge + Tak and the Power of Juju (Europe) (En+En+En,Fr,De)";Nintendo Game Boy Advance;;2005;THQ;Action/Platform;;;;;;;;;
3 Games in One! - Breakout + Centipede + Warlords (USA);3 Games in One! - Breakout + Centipede + Warlords (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action/Breakout/Shooter;;;;;;;;;
3 Games in One! - Super Breakout + Millipede + Lunar Lander (USA);3 Games in One! - Super Breakout + Millipede + Lunar Lander (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action/Breakout;;;;;;;;;
3 Games in One! - Yars' Revenge + Asteroids + Pong (USA);3 Games in One! - Yars' Revenge + Asteroids + Pong (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action/Shooter;;;;;;;;;
4 Games on One Game Pak (Nicktoons) (USA);4 Games on One Game Pak (Nicktoons) (USA);Nintendo Game Boy Advance;;2007;THQ;Miscellaneous;;;;;;;;;
"4 Games on One Game Pak (Racing) (USA) (En,Fr,De,Es,It,Nl)";"4 Games on One Game Pak (Racing) (USA) (En,Fr,De,Es,It,Nl)";Nintendo Game Boy Advance;;2007;THQ;Driving;;;;;;;;;
"ATV - Quad Power Racing (USA, Europe)";"ATV - Quad Power Racing (USA, Europe)";Nintendo Game Boy Advance;;2002;Acclaim;Driving;1;;;;;;;;
ATV - Thunder Ridge Riders (USA);ATV - Thunder Ridge Riders (USA);Nintendo Game Boy Advance;;2006;DSI Games;Driving;;;;;;;;;
"Ace Combat Advance (USA, Europe)";"Ace Combat Advance (USA, Europe)";Nintendo Game Boy Advance;;2005;Namco;Flying/Simulation;1;;;;;;;;
Ace Lightning (Europe);Ace Lightning (Europe);Nintendo Game Boy Advance;;2002;BBC Multimedia;Action;1;;;;;;;;
"Action Man - Robot Atak (Europe) (En,Fr,De,Es,It)";"Action Man - Robot Atak (Europe) (En,Fr,De,Es,It)";Nintendo Game Boy Advance;;2004;Atari;Action;;;;;;;;;
Activision Anthology (USA);Activision Anthology (USA);Nintendo Game Boy Advance;;2003;Aspyr;Miscellaneous;2;;;;;;;;
Advance Guardian Heroes (USA);Advance Guardian Heroes (USA);Nintendo Game Boy Advance;;2004;Ubisoft;Beat-'Em-Up;4;;;;;;;;
Advance Wars (USA) (Rev 1);Advance Wars (USA) (Rev 1);Nintendo Game Boy Advance;;2001;Nintendo;Strategy;4;;;;;;;;
"Advance Wars 2 - Black Hole Rising (USA, Australia)";"Advance Wars 2 - Black Hole Rising (USA, Australia)";Nintendo Game Boy Advance;;2003;Nintendo;Strategy;4;;;;;;;;
"Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The (USA, Europe)";"Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The (USA, Europe)";Nintendo Game Boy Advance;;2002;THQ;Action;1;;;;;;;;
"Adventures of Jimmy Neutron Boy Genius, The - Attack of the Twonkies (USA, Europe)";"Adventures of Jimmy Neutron Boy Genius, The - Attack of the Twonkies (USA, Europe)";Nintendo Game Boy Advance;;2004;THQ;Action;1;;;;;;;;
"Adventures of Jimmy Neutron Boy Genius, The - Jet Fusion (USA, Europe)";"Adventures of Jimmy Neutron Boy Genius, The - Jet Fusion (USA, Europe)";Nintendo Game Boy Advance;;2003;THQ;Platform;4;;;;;;;;
Aero the Acro-Bat - Rascal Rival Revenge (USA);Aero the Acro-Bat - Rascal Rival Revenge (USA);Nintendo Game Boy Advance;;2002;Metro3D;Platform;1;;;;;;;;
Agassi Tennis Generation (USA);Agassi Tennis Generation (USA);Nintendo Game Boy Advance;;2003;Cryo Interactive;Sports/Tennis;;;;;;;;;
"Agent Hugo - Roborumble (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)";"Agent Hugo - Roborumble (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)";Nintendo Game Boy Advance;;2007;ITE Media;Action;;;;;;;;;
Aggressive Inline (USA);Aggressive Inline (USA);Nintendo Game Boy Advance;;2002;Acclaim;Skating/Sports;2;;;;;;;;
"AirForce Delta Storm (USA) (En,Ja,Fr,De)";"AirForce Delta Storm (USA) (En,Ja,Fr,De)";Nintendo Game Boy Advance;;2002;Konami;Shoot-'Em-Up;1;;;;;;;;
"Aladdin (USA) (En,Fr,De,Es)";"Aladdin (USA) (En,Fr,De,Es)";Nintendo Game Boy Advance;;2004;Capcom;Platform;;;;;;;;;
