#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Lode Runner 3-D (USA);Lode Runner 3-D (USA);Nintendo 64;;1999;Infogrames;Action;1;;;;;;;;
MRC - Multi Racing Championship (USA);MRC - Multi Racing Championship (USA);Nintendo 64;;1997;Ocean;Driving;2;;;;;;;;
Mace - The Dark Age (USA);Mace - The Dark Age (USA);Nintendo 64;;1997;Midway;Fighter;4;;;;;;;;
Madden Football 64 (USA);Madden Football 64 (USA);Nintendo 64;;1997;EA Sports;Football/Sports;4;;;;;;;;
Madden NFL 2000 (USA);Madden NFL 2000 (USA);Nintendo 64;;1999;EA Sports;Football/Sports;4;;;;;;;;
Madden NFL 2001 (USA);Madden NFL 2001 (USA);Nintendo 64;;2000;EA Sports;Football/Sports;4;;;;;;;;
Madden NFL 2002 (USA);Madden NFL 2002 (USA);Nintendo 64;;2001;EA Sports;Football/Sports;4;;;;;;;;
Madden NFL 99 (USA);Madden NFL 99 (USA);Nintendo 64;;1998;EA Sports;Football/Sports;2;;;;;;;;
Magical Tetris Challenge (USA);Magical Tetris Challenge (USA);Nintendo 64;;1999;Capcom;Puzzle;2;;;;;;;;
Major League Baseball featuring Ken Griffey Jr. (USA);Major League Baseball featuring Ken Griffey Jr. (USA);Nintendo 64;;1998;Nintendo;Baseball/Sports;4;;;;;;;;
Mario Golf (USA);Mario Golf (USA);Nintendo 64;;1999;Nintendo;Golf/Sports;4;;;;;;;;
Mario Kart 64 (USA);Mario Kart 64 (USA);Nintendo 64;;1997;Nintendo;Driving;4;;;;;;;;
Mario Party (USA);Mario Party (USA);Nintendo 64;;1999;Nintendo;Party;4;;;;;;;;
Mario Party 2 (USA);Mario Party 2 (USA);Nintendo 64;;2000;Nintendo;Party;4;;;;;;;;
Mario Party 3 (USA);Mario Party 3 (USA);Nintendo 64;;2001;Nintendo;Pinball;4;;;;;;;;
Mario Tennis (USA);Mario Tennis (USA);Nintendo 64;;2000;Nintendo;Sports/Tennis;1;;;;;;;;
Mega Man 64 (USA);Mega Man 64 (USA);Nintendo 64;;2001;Capcom;Adventure;4;;;;;;;;
"Mia Hamm Soccer 64 (USA) (En,Es)";"Mia Hamm Soccer 64 (USA) (En,Es)";Nintendo 64;;2000;SouthPeak Games;Soccer/Sports;4;;;;;;;;
Mickey's Speedway USA (USA);Mickey's Speedway USA (USA);Nintendo 64;;2000;Nintendo;Driving;4;;;;;;;;
Micro Machines 64 Turbo (USA);Micro Machines 64 Turbo (USA);Nintendo 64;;1999;Midway;Driving;2;;;;;;;;
Midway's Greatest Arcade Hits - Volume 1 (USA);Midway's Greatest Arcade Hits - Volume 1 (USA);Nintendo 64;;2000;Midway;Miscellaneous;2;;;;;;;;
Mike Piazza's StrikeZone (USA);Mike Piazza's StrikeZone (USA);Nintendo 64;;1998;GT Interactive;Basketball/Sports;4;;;;;;;;
Milo's Astro Lanes (USA);Milo's Astro Lanes (USA);Nintendo 64;;1998;Crave;Bowling/Sports;1;;;;;;;;
Mischief Makers (USA) (Rev A);Mischief Makers (USA) (Rev A);Nintendo 64;;1997;Nintendo;Platform;1;;;;;;;;
Mission Impossible (USA);Mission Impossible (USA);Nintendo 64;;1998;Ocean;Adventure;2;;;;;;;;
Monaco Grand Prix (USA);Monaco Grand Prix (USA);Nintendo 64;;1999;Ubisoft;Driving;4;;;;;;;;
Monopoly (USA);Monopoly (USA);Nintendo 64;;1999;Hasbro Interactive;Board Games;4;;;;;;;;
Monster Truck Madness 64 (USA);Monster Truck Madness 64 (USA);Nintendo 64;;1999;Rockstar Games;Driving;2;;;;;;;;
Mortal Kombat 4 (USA);Mortal Kombat 4 (USA);Nintendo 64;;1998;Midway;Fighter;1;;;;;;;;
Mortal Kombat Mythologies - Sub-Zero (USA);Mortal Kombat Mythologies - Sub-Zero (USA);Nintendo 64;;1997;Midway;Platform;2;;;;;;;;
Mortal Kombat Trilogy (USA) (Rev B);Mortal Kombat Trilogy (USA) (Rev B);Nintendo 64;;1996;Midway;Fighter;4;;;;;;;;
Ms. Pac-Man - Maze Madness (USA);Ms. Pac-Man - Maze Madness (USA);Nintendo 64;;2000;Namco;Action;1;;;;;;;;
Mystical Ninja Starring Goemon (USA);Mystical Ninja Starring Goemon (USA);Nintendo 64;;1998;Konami;Action;2;;;;;;;;
NASCAR 2000 (USA);NASCAR 2000 (USA);Nintendo 64;;1999;EA Sports;Driving;2;;;;;;;;
NASCAR 99 (USA);NASCAR 99 (USA);Nintendo 64;;1998;EA Sports;Driving;4;;;;;;;;
NBA Courtside 2 featuring Kobe Bryant (USA);NBA Courtside 2 featuring Kobe Bryant (USA);Nintendo 64;;1999;Nintendo;Basketball/Sports;4;;;;;;;;
