#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Battle Dodge Ball (Japan);Battle Dodge Ball (Japan);Nintendo Game Boy;;1992;Banpresto;Sports;;;;;;;;;
Battle Ping Pong (Japan);Battle Ping Pong (Japan);Nintendo Game Boy;;1990;Quest;Sports/Tennis;;;;;;;;;
"Battle Unit Zeoth (USA, Europe)";"Battle Unit Zeoth (USA, Europe)";Nintendo Game Boy;;1991;Jaleco Entertainment;Shoot-'Em-Up;;;;;;;;;
"Battle of Olympus, The (Europe)";"Battle of Olympus, The (Europe)";Nintendo Game Boy;;1993;Imagineer;Adventure;1;;;;;;;;
"Battleship (USA, Europe)";"Battleship (USA, Europe)";Nintendo Game Boy;;1992;Mindscape Inc.;Strategy;2;;;;;;;;
"Battletoads (USA, Europe)";"Battletoads (USA, Europe)";Nintendo Game Boy;;1991;Messiah;Beat-'Em-Up;1;;;;;;;;
Battletoads in Ragnarok's World (USA);Battletoads in Ragnarok's World (USA);Nintendo Game Boy;;1993;Tradewest;Beat-'Em-Up;1;;;;;;;;
Battletoads-Double Dragon (USA);Battletoads-Double Dragon (USA);Nintendo Game Boy;;1993;Tradewest;Beat-'Em-Up;1;;;;;;;;
Beast Fighter (Asia) (Unl);Beast Fighter (Asia) (Unl);Nintendo Game Boy;;2000;Sachen;Beat-'Em-Up;;;;;;;;;
"Beavis and Butt-Head (USA, Europe)";"Beavis and Butt-Head (USA, Europe)";Nintendo Game Boy;;1999;GT Interactive;Action;;;;;;;;;
Beethoven - The Ultimate Canine Caper (Europe);Beethoven - The Ultimate Canine Caper (Europe);Nintendo Game Boy;;1994;Tech Expressions;Platform;;;;;;;;;
Beetlejuice (USA);Beetlejuice (USA);Nintendo Game Boy;;1992;LJN Ltd.;Platform;1;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Nintendo Game Boy;;1992;Electro Brain;Fighter;;;;;;;;;
