#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Buffy the Vampire Slayer (USA, Europe)";"Buffy the Vampire Slayer (USA, Europe)";Nintendo Game Boy Color;;2000;THQ;Beat-'Em-Up;1;;;;;;;;
"Bug's Life, A (USA)";"Bug's Life, A (USA)";Nintendo Game Boy Color;;1999;THQ;Platform;;;;;;;;;
"Bugs Bunny - Crazy Castle 3 (USA, Europe)";"Bugs Bunny - Crazy Castle 3 (USA, Europe)";Nintendo Game Boy Color;;1999;Nintendo;Platform;;;;;;;;;
Bugs Bunny in Crazy Castle 4 (USA);Bugs Bunny in Crazy Castle 4 (USA);Nintendo Game Boy Color;;2000;Kemco;Platform;;;;;;;;;
"Bust-A-Move 4 (USA, Europe)";"Bust-A-Move 4 (USA, Europe)";Nintendo Game Boy Color;;1999;Acclaim;Puzzle;;;;;;;;;
"Bust-A-Move Millennium (USA, Europe)";"Bust-A-Move Millennium (USA, Europe)";Nintendo Game Boy Color;;2000;Acclaim;Puzzle;2;;;;;;;;
"Buzz Lightyear of Star Command (USA, Europe)";"Buzz Lightyear of Star Command (USA, Europe)";Nintendo Game Boy Color;;2000;Activision;Action;;;;;;;;;
"Caesars Palace II (USA, Europe)";"Caesars Palace II (USA, Europe)";Nintendo Game Boy Color;;1999;Interplay;Casino;;;;;;;;;
Cannon Fodder (USA);Cannon Fodder (USA);Nintendo Game Boy Color;;2000;Codemasters;Action;1;;;;;;;;
Carl Lewis Athletics 2000 (Europe);Carl Lewis Athletics 2000 (Europe);Nintendo Game Boy Color;;2000;Planet Interactive;Sports;2;;;;;;;;
"Carmageddon - Carpocalypse Now (USA, Europe)";"Carmageddon - Carpocalypse Now (USA, Europe)";Nintendo Game Boy Color;;2000;Titus Software;Action;1;;;;;;;;
Casper (USA);Casper (USA);Nintendo Game Boy Color;;2000;Interplay;Role-Playing;;;;;;;;;
Caterpillar Construction Zone (USA);Caterpillar Construction Zone (USA);Nintendo Game Boy Color;;2000;Mattel;Action;1;;;;;;;;
Catwoman (USA);Catwoman (USA);Nintendo Game Boy Color;;1999;Kemco;Platform;1;;;;;;;;
Catz - Your Virtual Petz Palz (USA);Catz - Your Virtual Petz Palz (USA);Nintendo Game Boy Color;;1999;Mindscape Inc.;Virtual Life;;;;;;;;;
Centipede (USA);Centipede (USA);Nintendo Game Boy Color;;1998;Majesco Games;Shooter;2;;;;;;;;
Championship Motocross 2001 featuring Ricky Carmichael (USA);Championship Motocross 2001 featuring Ricky Carmichael (USA);Nintendo Game Boy Color;;2000;THQ;Driving;;;;;;;;;
Chase H.Q. - Secret Police (USA);Chase H.Q. - Secret Police (USA);Nintendo Game Boy Color;;2000;Metro3D;Driving;2;;;;;;;;
"Chessmaster (USA, Europe)";"Chessmaster (USA, Europe)";Nintendo Game Boy Color;;1999;Mindscape Inc.;Board Games;;;;;;;;;
"Chicken Run (USA, Europe)";"Chicken Run (USA, Europe)";Nintendo Game Boy Color;;2000;THQ;Action;;;;;;;;;
Classic Bubble Bobble (USA);Classic Bubble Bobble (USA);Nintendo Game Boy Color;;1999;Metro3D;Platform;1;;;;;;;;
Colin McRae Rally (Europe);Colin McRae Rally (Europe);Nintendo Game Boy Color;;2001;THQ;Driving;;;;;;;;;
"Commander Keen (USA, Europe)";"Commander Keen (USA, Europe)";Nintendo Game Boy Color;;2001;Activision;Platform;1;;;;;;;;
"Conker's Pocket Tales (USA, Europe)";"Conker's Pocket Tales (USA, Europe)";Nintendo Game Boy Color;;1999;Rare;Platform;1;;;;;;;;
Cool Bricks (Europe);Cool Bricks (Europe);Nintendo Game Boy Color;;1999;SCi;Puzzle;;;;;;;;;
"Croc (USA, Europe)";"Croc (USA, Europe)";Nintendo Game Boy Color;;2000;THQ;Action;;;;;;;;;
"Croc 2 (USA, Europe)";"Croc 2 (USA, Europe)";Nintendo Game Boy Color;;2001;THQ;Action;;;;;;;;;
Cruis'n Exotica (USA);Cruis'n Exotica (USA);Nintendo Game Boy Color;;2000;Midway;Driving;1;;;;;;;;
Crystalis (USA);Crystalis (USA);Nintendo Game Boy Color;;2000;Nintendo;Role-Playing;1;;;;;;;;
Cubix - Robots for Everyone - Race 'n Robots (USA);Cubix - Robots for Everyone - Race 'n Robots (USA);Nintendo Game Boy Color;;2001;3DO;Driving;;;;;;;;;
"CyberTiger (USA, Europe)";"CyberTiger (USA, Europe)";Nintendo Game Boy Color;;2000;EA Sports;Sports;2;;;;;;;;
Daffy Duck - Fowl Play (USA);Daffy Duck - Fowl Play (USA);Nintendo Game Boy Color;;1999;ElectroBrain;Platform;1;;;;;;;;
Daikatana (Europe);Daikatana (Europe);Nintendo Game Boy Color;;2000;Kemco;Role-Playing;;;;;;;;;
"Dave Mirra Freestyle BMX (USA, Europe)";"Dave Mirra Freestyle BMX (USA, Europe)";Nintendo Game Boy Color;;2000;Acclaim;Sports;4;;;;;;;;
David Beckham Soccer (Europe);David Beckham Soccer (Europe);Nintendo Game Boy Color;;2002;Majesco Games;Sports;1;;;;;;;;
Deer Hunter (USA);Deer Hunter (USA);Nintendo Game Boy Color;;1999;Vatical Entertainment;Sports/Hunting;;;;;;;;;
Deja Vu I & II - The Casebooks of Ace Harding (USA);Deja Vu I & II - The Casebooks of Ace Harding (USA);Nintendo Game Boy Color;;1999;Vatical Entertainment;Action;1;;;;;;;;
Denki Blocks! (Europe);Denki Blocks! (Europe);Nintendo Game Boy Color;;2001;Rage Software;Puzzle;2;;;;;;;;
Dexter's Laboratory - Robot Rampage (USA);Dexter's Laboratory - Robot Rampage (USA);Nintendo Game Boy Color;;2000;Bam Entertainment;Action;1;;;;;;;;
Dinosaur (USA);Dinosaur (USA);Nintendo Game Boy Color;;2000;Ubisoft;Action;;;;;;;;;
Dinosaur'us (Europe);Dinosaur'us (Europe);Nintendo Game Boy Color;;2001;Electronic Arts;Role-Playing;;;;;;;;;
Diva Starz - Mall Mania (USA);Diva Starz - Mall Mania (USA);Nintendo Game Boy Color;;2001;VU Games;Action;;;;;;;;;
Dogz - Your Virtual Petz Palz (USA);Dogz - Your Virtual Petz Palz (USA);Nintendo Game Boy Color;;1999;Mindscape Inc;Virtual Life;;;;;;;;;
Donald Duck - Goin' Quackers (USA);Donald Duck - Goin' Quackers (USA);Nintendo Game Boy Color;;2000;Ubisoft;Platform;1;;;;;;;;
"Donkey Kong Country (USA, Europe)";"Donkey Kong Country (USA, Europe)";Nintendo Game Boy Color;;2000;Nintendo;Platform;2;;;;;;;;
Doug's Big Game (USA);Doug's Big Game (USA);Nintendo Game Boy Color;;2000;NewKidCo;Action;;;;;;;;;
Dracula - Crazy Vampire (USA);Dracula - Crazy Vampire (USA);Nintendo Game Boy Color;;2001;DreamCatcher Interactive;Action;;;;;;;;;
Dragon Ball Z - Legendary Super Warriors (USA);Dragon Ball Z - Legendary Super Warriors (USA);Nintendo Game Boy Color;;2002;Atari;Role-Playing;2;;;;;;;;
Dragon Dance (USA);Dragon Dance (USA);Nintendo Game Boy Color;;2000;Crave;Action;;;;;;;;;
Dragon Tales - Dragon Adventures (USA);Dragon Tales - Dragon Adventures (USA);Nintendo Game Boy Color;;2001;NewKidCo;Platform;;;;;;;;;
