#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Relief Pitcher (USA);Relief Pitcher (USA);Super Nintendo Entertainment System;;1994;Left Field Productions;Sports/Baseball;;;;;;;;;
"Ren & Stimpy Show, The - Buckeroos! (USA)";"Ren & Stimpy Show, The - Buckeroos! (USA)";Super Nintendo Entertainment System;;1995;THQ;Action;;;;;;;;;
"Ren & Stimpy Show, The - Fire Dogs (USA)";"Ren & Stimpy Show, The - Fire Dogs (USA)";Super Nintendo Entertainment System;;1994;THQ;Action;;;;;;;;;
"Ren & Stimpy Show, The - Time Warp (USA)";"Ren & Stimpy Show, The - Time Warp (USA)";Super Nintendo Entertainment System;;1994;THQ;Action;;;;;;;;;
"Ren & Stimpy Show, The - Veediots! (USA)";"Ren & Stimpy Show, The - Veediots! (USA)";Super Nintendo Entertainment System;;1993;THQ;Platform;;;;;;;;;
Revolution X (USA);Revolution X (USA);Super Nintendo Entertainment System;;1995;Acclaim;Gun;2;;;;;;;;
Rex Ronan - Experimental Surgeon (USA);Rex Ronan - Experimental Surgeon (USA);Super Nintendo Entertainment System;;1994;Raya Systems;Action;;;;;;;;;
Riddick Bowe Boxing (USA);Riddick Bowe Boxing (USA);Super Nintendo Entertainment System;;1993;Extreme Entertainment Group;Sports/Boxing;;;;;;;;;
Rise of the Phoenix (USA);Rise of the Phoenix (USA);Super Nintendo Entertainment System;;1995;Koei;Strategy;;;;;;;;;
Rise of the Robots (USA);Rise of the Robots (USA);Super Nintendo Entertainment System;;1994;Acclaim;Fighter;2;;;;;;;;
Rival Turf! (USA);Rival Turf! (USA);Super Nintendo Entertainment System;;1992;Jaleco;Fighter;2;;;;;;;;
Road Riot 4WD (USA);Road Riot 4WD (USA);Super Nintendo Entertainment System;;1992;THQ;Driving;;;;;;;;;
Road Runner's Death Valley Rally (USA);Road Runner's Death Valley Rally (USA);Super Nintendo Entertainment System;;1992;Sun Soft;Platform;1;;;;;;;;
RoboCop 3 (USA);RoboCop 3 (USA);Super Nintendo Entertainment System;;1992;Ocean;Action;1;;;;;;;;
RoboCop versus The Terminator (USA);RoboCop versus The Terminator (USA);Super Nintendo Entertainment System;;1993;Virgin Interactive;Platform;1;;;;;;;;
Robotrek (USA);Robotrek (USA);Super Nintendo Entertainment System;;1994;Enix;Role-Playing;1;;;;;;;;
Rock n' Roll Racing (USA);Rock n' Roll Racing (USA);Super Nintendo Entertainment System;;1993;Blizzard Entertainment;Driving;2;;;;;;;;
"Rocketeer, The (USA)";"Rocketeer, The (USA)";Super Nintendo Entertainment System;;1992;IGS;Action;1;;;;;;;;
Rocko's Modern Life - Spunky's Dangerous Day (USA);Rocko's Modern Life - Spunky's Dangerous Day (USA);Super Nintendo Entertainment System;;1994;Viacom New Media;Platform;;;;;;;;;
Rocky Rodent (USA);Rocky Rodent (USA);Super Nintendo Entertainment System;;1993;Irem;Action;;;;;;;;;
Roger Clemens' MVP Baseball (USA);Roger Clemens' MVP Baseball (USA);Super Nintendo Entertainment System;;1992;LJN Ltd.;Sports/Baseball;;;;;;;;;
Roger Clemens' MVP Baseball (USA) (Rev 1);Roger Clemens' MVP Baseball (USA) (Rev 1);Super Nintendo Entertainment System;;1992;LJN Ltd.;Sports/Baseball;;;;;;;;;
Romance of the Three Kingdoms II (USA);Romance of the Three Kingdoms II (USA);Super Nintendo Entertainment System;;1995;Koei;Strategy;;;;;;;;;
Romance of the Three Kingdoms III - Dragon of Destiny (USA);Romance of the Three Kingdoms III - Dragon of Destiny (USA);Super Nintendo Entertainment System;;1994;Koei;Strategy;8;;;;;;;;
Romance of the Three Kingdoms IV - Wall of Fire (USA);Romance of the Three Kingdoms IV - Wall of Fire (USA);Super Nintendo Entertainment System;;1995;Koei;Strategy;8;;;;;;;;
Run Saber (USA);Run Saber (USA);Super Nintendo Entertainment System;;1993;Atlus;Platform;2;;;;;;;;
SOS (USA);SOS (USA);Super Nintendo Entertainment System;;1994;Vic Tokai;Action;1;;;;;;;;
SWAT Kats - The Radical Squadron (USA);SWAT Kats - The Radical Squadron (USA);Super Nintendo Entertainment System;;1995;Hudson;Platform;;;;;;;;;
Sailor Moon (France);Sailor Moon (France);Super Nintendo Entertainment System;;1993;Bandai;Beat-'Em-Up;;;;;;;;;
Sailormoon (France);Sailormoon (France);Super Nintendo Entertainment System;;1994;Bandai;Beat-'Em-Up;;;;;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Super Nintendo Entertainment System;;1994;Takara;Fighter;2;;;;;;;;
Saturday Night Slam Masters (USA);Saturday Night Slam Masters (USA);Super Nintendo Entertainment System;;1996;Capcom;Sports/Wrestling;4;;;;;;;;
Scooby-Doo Mystery (USA);Scooby-Doo Mystery (USA);Super Nintendo Entertainment System;;1995;Acclaim;Action;;;;;;;;;
SeaQuest DSV (USA);SeaQuest DSV (USA);Super Nintendo Entertainment System;;1995;Malibu;Action;1;;;;;;;;
Secret of Evermore (USA);Secret of Evermore (USA);Super Nintendo Entertainment System;;1995;SquareSoft;Role-Playing;1;;;;;;;;
Secret of Mana (USA);Secret of Mana (USA);Super Nintendo Entertainment System;;1993;SquareSoft;Role-Playing;3;;;;;;;;
"Shadow, The (USA) (Proto)";"Shadow, The (USA) (Proto)";Super Nintendo Entertainment System;;1994;Ocean;Beat-'Em-Up;;;;;;;;;
Shadowrun (USA);Shadowrun (USA);Super Nintendo Entertainment System;;1993;Data East;Role-Playing;1;;;;;;;;
Shanghai II - Dragon's Eye (USA);Shanghai II - Dragon's Eye (USA);Super Nintendo Entertainment System;;1993;Activision;Puzzle;;;;;;;;;
Shaq Fu (USA);Shaq Fu (USA);Super Nintendo Entertainment System;;1994;Electronic Arts;Fighter;2;;;;;;;;
Shien's Revenge (USA);Shien's Revenge (USA);Super Nintendo Entertainment System;;1994;Vic Tokai;Action;;;;;;;;;
Side Pocket (USA);Side Pocket (USA);Super Nintendo Entertainment System;;1993;Data East;Miscellaneous;1;;;;;;;;
SimAnt (USA);SimAnt (USA);Super Nintendo Entertainment System;;1993;Maxis;Strategy;;;;;;;;;
SimCity (USA);SimCity (USA);Super Nintendo Entertainment System;;1991;Nintendo;Strategy;1;;;;;;;;
SimCity 2000 (USA);SimCity 2000 (USA);Super Nintendo Entertainment System;;1996;Black Pearl;Strategy;1;;;;;;;;
SimEarth - The Living Planet (USA);SimEarth - The Living Planet (USA);Super Nintendo Entertainment System;;1993;"FCI, Inc.";Strategy;1;;;;;;;;
"Simpsons, The - Bart's Nightmare (USA)";"Simpsons, The - Bart's Nightmare (USA)";Super Nintendo Entertainment System;;1992;Acclaim;Action;1;;;;;;;;
Sink or Swim (USA);Sink or Swim (USA);Super Nintendo Entertainment System;;1994;Titus;Platform;1;;;;;;;;
Skipp and Friends (World) (Unl);Skipp and Friends (World) (Unl);Super Nintendo Entertainment System;;2009;Mokunda Johnson;Puzzle;;;;;;;;;
Skuljagger - Revolt of the Westicans (USA);Skuljagger - Revolt of the Westicans (USA);Super Nintendo Entertainment System;;1992;American Softworks;Platform;;;;;;;;;
Skyblazer (USA);Skyblazer (USA);Super Nintendo Entertainment System;;1994;Sony Imagesoft;Platform;1;;;;;;;;
Smart Ball (USA);Smart Ball (USA);Super Nintendo Entertainment System;;1991;Sony Imagesoft;Action;;;;;;;;;
Smash Tennis (Europe);Smash Tennis (Europe);Super Nintendo Entertainment System;;1993;Namco;Sports/Tennis;;;;;;;;;
"Smurfs Travel the World, The (Europe)";"Smurfs Travel the World, The (Europe)";Super Nintendo Entertainment System;;1996;Infogrames;Platform;1;;;;;;;;
"Smurfs, The (Europe)";"Smurfs, The (Europe)";Super Nintendo Entertainment System;;1994;Infogrames;Platform;1;;;;;;;;
Snow White in Happily Ever After (USA);Snow White in Happily Ever After (USA);Super Nintendo Entertainment System;;1994;American Softworks;Action;;;;;;;;;
Soldiers of Fortune (USA);Soldiers of Fortune (USA);Super Nintendo Entertainment System;;1993;Spectrum Holobyte;Shooter;2;;;;;;;;
Sonic Blast Man (USA);Sonic Blast Man (USA);Super Nintendo Entertainment System;;1992;Taito;Fighter;1;;;;;;;;
Sonic Blast Man II (USA);Sonic Blast Man II (USA);Super Nintendo Entertainment System;;1994;Taito;Fighter;2;;;;;;;;
Soul Blazer (USA);Soul Blazer (USA);Super Nintendo Entertainment System;;1992;Enix;Role-Playing;1;;;;;;;;
Space Ace (USA);Space Ace (USA);Super Nintendo Entertainment System;;1993;Absolute Entertainment;Action;;;;;;;;;
Space Football - One on One (USA);Space Football - One on One (USA);Super Nintendo Entertainment System;;1992;Triffix;Sports/Football;;;;;;;;;
Space Invaders - The Original Game (USA);Space Invaders - The Original Game (USA);Super Nintendo Entertainment System;;1997;Nintendo;Shooter;2;;;;;;;;
Space Megaforce (USA);Space Megaforce (USA);Super Nintendo Entertainment System;;1992;Toho;Shooter;;;;;;;;;
Spanky's Quest (USA);Spanky's Quest (USA);Super Nintendo Entertainment System;;1992;Natsume;Action;;;;;;;;;
Sparkster (USA);Sparkster (USA);Super Nintendo Entertainment System;;1994;Konami;Action;;;;;;;;;
Spawn (USA);Spawn (USA);Super Nintendo Entertainment System;;1995;Acclaim;Action;;;;;;;;;
Spectre (USA);Spectre (USA);Super Nintendo Entertainment System;;1994;Cybersoft;Action;2;;;;;;;;
Speed Racer in My Most Dangerous Adventures (USA);Speed Racer in My Most Dangerous Adventures (USA);Super Nintendo Entertainment System;;1994;Accolade;Driving;;;;;;;;;
Speedy Gonzales - Los Gatos Bandidos (USA);Speedy Gonzales - Los Gatos Bandidos (USA);Super Nintendo Entertainment System;;1995;Acclaim;Platform;1;;;;;;;;
Speedy Gonzales - Los Gatos Bandidos (USA) (Rev 1);Speedy Gonzales - Los Gatos Bandidos (USA) (Rev 1);Super Nintendo Entertainment System;;1995;Acclaim;platform;;;;;;;;;
SpellCraft (USA) (Proto);SpellCraft (USA) (Proto);Super Nintendo Entertainment System;;1993;Asciiware;Adventure;;;;;;;;;
Spider-Man & Venom - Maximum Carnage (USA);Spider-Man & Venom - Maximum Carnage (USA);Super Nintendo Entertainment System;;1994;LJN;Fighter;1;;;;;;;;
Spider-Man & Venom - Separation Anxiety (USA);Spider-Man & Venom - Separation Anxiety (USA);Super Nintendo Entertainment System;;1995;Acclaim;Fighter;;;;;;;;;
Spider-Man (USA);Spider-Man (USA);Super Nintendo Entertainment System;;1994;LJN;Platform;;;;;;;;;
Spider-Man and the X-Men - Arcade's Revenge (USA);Spider-Man and the X-Men - Arcade's Revenge (USA);Super Nintendo Entertainment System;;1992;LJN;Platform;1;;;;;;;;
Spider-Man-Venom - Maximum Carnage (USA);Spider-Man-Venom - Maximum Carnage (USA);Super Nintendo Entertainment System;;1994;LJN;Fighter;;;;;;;;;
Spider-Man-X-Men - Arcade's Revenge (USA);Spider-Man-X-Men - Arcade's Revenge (USA);Super Nintendo Entertainment System;;1992;LJN;platform;;;;;;;;;
Spindizzy Worlds (USA);Spindizzy Worlds (USA);Super Nintendo Entertainment System;;1993;ASCII Entertainment;Action;;;;;;;;;
Spirou (Europe);Spirou (Europe);Super Nintendo Entertainment System;;1996;Infogrames;Platform;;;;;;;;;
