#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
High Heat Major League Baseball 2002 (USA);High Heat Major League Baseball 2002 (USA);Sony PlayStation 2;;2001;3DO;Sports/Baseball;2;;;;;;;;
High Heat Major League Baseball 2003 (USA);High Heat Major League Baseball 2003 (USA);Sony PlayStation 2;;2002;3DO;Sports/Baseball;2;;;;;;;;
High Heat Major League Baseball 2004 (USA);High Heat Major League Baseball 2004 (USA);Sony PlayStation 2;;2003;3DO;Sports/Baseball;2;;;;;;;;
High Rollers Casino (USA);High Rollers Casino (USA);Sony PlayStation 2;;2004;Virtual Toys;Casino;;;;;;;;;
High School Musical - Sing It! (USA);High School Musical - Sing It! (USA);Sony PlayStation 2;;2007;Artificial Mind and Movement;Puzzle;8;;;;;;;;
High School Musical 3 - Senior Year DANCE! (USA);High School Musical 3 - Senior Year DANCE! (USA);Sony PlayStation 2;;2008;Page 44 Studios;Rhythm;2;;;;;;;;
"History Channel, The - Battle for the Pacific (USA)";"History Channel, The - Battle for the Pacific (USA)";Sony PlayStation 2;;2007;Sand Grain Studios;Shooter;;;;;;;;;
"History Channel, The - Civil War - A Nation Divided (USA)";"History Channel, The - Civil War - A Nation Divided (USA)";Sony PlayStation 2;;2006;Cauldron Ltd.;Shooter;1;;;;;;;;
"History Channel, The - Civil War - Secret Missions (USA)";"History Channel, The - Civil War - Secret Missions (USA)";Sony PlayStation 2;;2008;Cauldron Ltd.;Shooter;;;;;;;;;
"History Channel, The - Great Battles of Rome (Europe)";"History Channel, The - Great Battles of Rome (Europe)";Sony PlayStation 2;;2007;Slitherine;Strategy;;;;;;;;;
Hitman - Blood Money (USA);Hitman - Blood Money (USA);Sony PlayStation 2;;2006;Io Interactive;Action;1;;;;;;;;
Hitman - Contracts (USA);Hitman - Contracts (USA);Sony PlayStation 2;;2004;Io Interactive;Shooter;1;;;;;;;;
Hitman 2 - Silent Assassin (USA);Hitman 2 - Silent Assassin (USA);Sony PlayStation 2;;2002;Io Interactive;Action;1;;;;;;;;
"Hobbit, The (USA)";"Hobbit, The (USA)";Sony PlayStation 2;;2003;Inevitable Entertainment;Action;1;;;;;;;;
Home Alone (Europe);Home Alone (Europe);Sony PlayStation 2;;2006;Blast! Entertainment Ltd;Action;;;;;;;;;
Home Run (Europe);Home Run (Europe);Sony PlayStation 2;;2003;Phoenix Games;Sports/Baseball;2;;;;;;;;
Homura (Europe);Homura (Europe);Sony PlayStation 2;;2006;Skonec;Shoot-'Em-Up;1;;;;;;;;
Hoppie (Europe);Hoppie (Europe);Sony PlayStation 2;;2006;Phoenix Games;Action;1;;;;;;;;
Horsez (USA);Horsez (USA);Sony PlayStation 2;;2006;MTO;Virtual Life;1;;;;;;;;
Hot Shots Golf 3 (USA);Hot Shots Golf 3 (USA);Sony PlayStation 2;;2002;Clap Hanz;Sports/Golf;2;;;;;;;;
Hot Shots Golf Fore! (USA);Hot Shots Golf Fore! (USA);Sony PlayStation 2;;2004;Clap Hanz;Sports/Golf;4;;;;;;;;
Hot Shots Tennis (USA);Hot Shots Tennis (USA);Sony PlayStation 2;;2007;Clap Hanz;Sports/Tennis;4;;;;;;;;
Hot Wheels - Beat That! (USA);Hot Wheels - Beat That! (USA);Sony PlayStation 2;;2007;Eutechnyx;Driving;2;;;;;;;;
