#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Sega Genesis;;1993;Electro Brain;Fighter;2;;;;;;;;
Beyond Oasis (USA);Beyond Oasis (USA);Sega Genesis;;1994;Ancient;Role-Playing;1;;;;;;;;
Bible Adventures (USA) (Unl);Bible Adventures (USA) (Unl);Sega Genesis;;1995;Color Dreams;Platform;1;;;;;;;;
"Bill Walsh College Football (USA, Europe)";"Bill Walsh College Football (USA, Europe)";Sega Genesis;;1993;High Score Productions;Sports/Football;4;;;;;;;;
Bill Walsh College Football 95 (USA);Bill Walsh College Football 95 (USA);Sega Genesis;;1994;High Score Productions;Sports;4;;;;;;;;
Bimini Run (USA);Bimini Run (USA);Sega Genesis;;1990;Nuvision Entertainment;Platform;2;;;;;;;;
"Bio Hazard Battle (USA, Europe)";"Bio Hazard Battle (USA, Europe)";Sega Genesis;;1992;Sega;Shooter;2;;;;;;;;
"Blades of Vengeance (USA, Europe)";"Blades of Vengeance (USA, Europe)";Sega Genesis;;1993;Beam Software;Platform;2;;;;;;;;
Blaster Master 2 (USA);Blaster Master 2 (USA);Sega Genesis;;1993;Software Creations;Platform;1;;;;;;;;
Blockbuster World Video Game Championship II (USA);Blockbuster World Video Game Championship II (USA);Sega Genesis;;1995;Various;Miscellaneous;;;;;;;;;
Blockout (World);Blockout (World);Sega Genesis;;1991;California Dreams;Puzzle;2;;;;;;;;
Bloodshot (Europe);Bloodshot (Europe);Sega Genesis;;1994;Domark;Shooter;;;;;;;;;
Body Count (Europe);Body Count (Europe);Sega Genesis;;1994;Probe Entertainment;Platform;2;;;;;;;;
"Bonanza Brothers (USA, Korea)";"Bonanza Brothers (USA, Korea)";Sega Genesis;;1991;Sega;Platform;2;;;;;;;;
"Bonkers (USA, Europe)";"Bonkers (USA, Europe)";Sega Genesis;;1994;Sega;Platform;1;;;;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman - A Pick and Flick Adventure (USA);Sega Genesis;;1994;Interplay;Platform;1;;;;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring (USA);Sega Genesis;;1993;Sculptured Software;Sports/Boxing;2;;;;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);Sega Genesis;;1993;Traveller's Tales;Platform;1;;;;;;;;
