#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Battle Kid 2 - Mountain of Torment (USA) (Unl);Battle Kid 2 - Mountain of Torment (USA) (Unl);Nintendo Entertainment System;;2013;Sivak Games;Platform;;;;;;;;;
"Battle of Olympus, The (USA)";"Battle of Olympus, The (USA)";Nintendo Entertainment System;;1989;Broderbund;Adventure;1;;;;;;;;
Battleship (USA);Battleship (USA);Nintendo Entertainment System;;1993;Mindscape Inc.;Strategy;1;;;;;;;;
Battletank (USA);Battletank (USA);Nintendo Entertainment System;;1990;Absolute Entertainment;Action;1;;;;;;;;
Battletoads (USA);Battletoads (USA);Nintendo Entertainment System;;1991;Tradewest;Beat-'Em-Up;2;;;;;;;;
Battletoads-Double Dragon (USA);Battletoads-Double Dragon (USA);Nintendo Entertainment System;;1993;Tradewest;Beat-'Em-Up;2;;;;;;;;
Beauty and the Beast (Europe);Beauty and the Beast (Europe);Nintendo Entertainment System;;1994;Hudson;Platform;;;;;;;;;
Bee 52 (USA) (Unl);Bee 52 (USA) (Unl);Nintendo Entertainment System;;1992;Camerica;Action;;;;;;;;;
Beetlejuice (USA);Beetlejuice (USA);Nintendo Entertainment System;;1991;LJN Ltd.;Platform;1;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Nintendo Entertainment System;;1992;Electro Brain;Fighter;1;;;;;;;;
Bible Adventures (USA) (Unl);Bible Adventures (USA) (Unl);Nintendo Entertainment System;;1990;Wisdom Tree;Platform;;;;;;;;;
Bible Buffet (USA) (Unl);Bible Buffet (USA) (Unl);Nintendo Entertainment System;;1993;Wisdom Tree;Board Games;;;;;;;;;
Big Nose Freaks Out (USA) (Unl);Big Nose Freaks Out (USA) (Unl);Nintendo Entertainment System;;1992;Camerica;Platform;;;;;;;;;
Big Nose the Caveman (USA) (Unl);Big Nose the Caveman (USA) (Unl);Nintendo Entertainment System;;1991;Camerica;Platform;;;;;;;;;
Bigfoot (USA);Bigfoot (USA);Nintendo Entertainment System;;1990;Acclaim;Driving;2;;;;;;;;
Bill & Ted's Excellent Video Game Adventure (USA);Bill & Ted's Excellent Video Game Adventure (USA);Nintendo Entertainment System;;1991;LJN Ltd.;Action;1;;;;;;;;
Bill Elliott's NASCAR Challenge (USA);Bill Elliott's NASCAR Challenge (USA);Nintendo Entertainment System;;1991;Konami;Driving;1;;;;;;;;
Bionic Commando (USA);Bionic Commando (USA);Nintendo Entertainment System;;1988;Capcom;Platform;1;;;;;;;;
"Black Bass, The (USA)";"Black Bass, The (USA)";Nintendo Entertainment System;;1989;Hot-B;Sports/Fishing;1;;;;;;;;
Blackjack (USA) (Unl);Blackjack (USA) (Unl);Nintendo Entertainment System;;1992;American Video Entertainment;Casino;;;;;;;;;
Blade Buster (World) (Unl);Blade Buster (World) (Unl);Nintendo Entertainment System;;2010;HLC Project;Shooter;;;;;;;;;
Blades of Steel (USA);Blades of Steel (USA);Nintendo Entertainment System;;1988;Konami;Sports/Hockey;2;;;;;;;;
Blaster Master (USA);Blaster Master (USA);Nintendo Entertainment System;;1988;SunSoft;Platform;1;;;;;;;;
Block Out (USA) (Proto);Block Out (USA) (Proto);Nintendo Entertainment System;;1990;California Dreams;Puzzle;;;;;;;;;
"Blue Marlin, The (USA)";"Blue Marlin, The (USA)";Nintendo Entertainment System;;1992;Hot-B;Sports/Fishing;1;;;;;;;;
"Blues Brothers, The (USA)";"Blues Brothers, The (USA)";Nintendo Entertainment System;;1992;Titus Software;Platform;1;;;;;;;;
Bo Jackson Baseball (USA);Bo Jackson Baseball (USA);Nintendo Entertainment System;;1991;Data East USA;Sports/Baseball;2;;;;;;;;
Bomb Sweeper (World) (Unl);Bomb Sweeper (World) (Unl);Nintendo Entertainment System;;2002;Snowbro Software;Puzzle;;;;;;;;;
Bomberman (USA);Bomberman (USA);Nintendo Entertainment System;;1989;Hudson;Puzzle;1;;;;;;;;
Bomberman II (USA);Bomberman II (USA);Nintendo Entertainment System;;1993;Hudson;Puzzle;2;;;;;;;;
Bonk's Adventure (USA);Bonk's Adventure (USA);Nintendo Entertainment System;;1994;Hudson;Platform;1;;;;;;;;
Booky Man (Spain) (Unl);Booky Man (Spain) (Unl);Nintendo Entertainment System;;1991;NTDEC;Maze;;;;;;;;;
Boulder Dash (USA);Boulder Dash (USA);Nintendo Entertainment System;;1990;JVC Digital Studios;Puzzle;1;;;;;;;;
Box Boy (World) (Unl);Box Boy (World) (Unl);Nintendo Entertainment System;;2003;Neal Tew;Puzzle;;;;;;;;;
"Boy and His Blob, A - Trouble on Blobolonia (USA)";"Boy and His Blob, A - Trouble on Blobolonia (USA)";Nintendo Entertainment System;;1990;Absolute Entertainment;Action;1;;;;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);Nintendo Entertainment System;;1993;Sony Imagesoft;Action;1;;;;;;;;
Break Time - The National Pool Tour (USA);Break Time - The National Pool Tour (USA);Nintendo Entertainment System;;1993;"FCI, Inc.";Sports/Pool and Dart;2;;;;;;;;
BreakThru (USA);BreakThru (USA);Nintendo Entertainment System;;1987;Data East;Shooter;1;;;;;;;;
Bubble Bath Babes (USA) (Unl);Bubble Bath Babes (USA) (Unl);Nintendo Entertainment System;;1991;Panesian;Puzzle;;;;;;;;;
Bubble Bobble (USA);Bubble Bobble (USA);Nintendo Entertainment System;;1988;Taito Corporation;Platform;2;;;;;;;;
Bubble Bobble Part 2 (USA);Bubble Bobble Part 2 (USA);Nintendo Entertainment System;;1993;Taito Corporation;Platform;2;;;;;;;;
Bucky O'Hare (USA);Bucky O'Hare (USA);Nintendo Entertainment System;;1992;Konami;Platform;1;;;;;;;;
"Bugs Bunny Birthday Blowout, The (USA)";"Bugs Bunny Birthday Blowout, The (USA)";Nintendo Entertainment System;;1990;Kemco;Platform;1;;;;;;;;
"Bugs Bunny Crazy Castle, The (USA)";"Bugs Bunny Crazy Castle, The (USA)";Nintendo Entertainment System;;1989;Kemco;Action;1;;;;;;;;
Bump'n'Jump (USA);Bump'n'Jump (USA);Nintendo Entertainment System;;1988;Vic Tokai;Driving;1;;;;;;;;
Burai Fighter (USA);Burai Fighter (USA);Nintendo Entertainment System;;1990;Taxan;Shoot-'Em-Up;1;;;;;;;;
BurgerTime (USA);BurgerTime (USA);Nintendo Entertainment System;;1987;Data East;Action;2;;;;;;;;
Buzz and Waldog (USA) (Proto);Buzz and Waldog (USA) (Proto);Nintendo Entertainment System;;1993;Daou;Platform;;;;;;;;;
Cabal (USA);Cabal (USA);Nintendo Entertainment System;;1990;Milton Bradley;Shooter;1;;;;;;;;
Caesars Palace (USA);Caesars Palace (USA);Nintendo Entertainment System;;1992;Virgin Games;Casino;1;;;;;;;;
California Games (USA);California Games (USA);Nintendo Entertainment System;;1989;Milton Bradley;Sports;4;;;;;;;;
California Raisins - The Grape Escape (USA) (Proto);California Raisins - The Grape Escape (USA) (Proto);Nintendo Entertainment System;;1990;Radiance;Action;;;;;;;;;
Caltron - 6 in 1 (USA) (Unl);Caltron - 6 in 1 (USA) (Unl);Nintendo Entertainment System;;1992;Caltron;Compilation;;;;;;;;;
Capcom's Gold Medal Challenge '92 (USA);Capcom's Gold Medal Challenge '92 (USA);Nintendo Entertainment System;;1992;Capcom;Sports/Olympic;;;;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);Nintendo Entertainment System;;1991;Data East;Platform;2;;;;;;;;
Captain Comic - The Adventure (USA) (Unl);Captain Comic - The Adventure (USA) (Unl);Nintendo Entertainment System;;1989;Color Dreams;Action;;;;;;;;;
Captain Planet and the Planeteers (USA);Captain Planet and the Planeteers (USA);Nintendo Entertainment System;;1991;Mindscape Inc.;Platform;1;;;;;;;;
Captain Skyhawk (USA);Captain Skyhawk (USA);Nintendo Entertainment System;;1990;Milton Bradley;Shoot-'Em-Up;1;;;;;;;;
